"filename", "language", "C++", "C", "Log", "Lua", "CMake", "XML", "Shell Script", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_md5.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 21, 130
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_memory.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 11, 64
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_random.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 18, 116
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_thread.h", "C++", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 42, 465
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_timer.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 19, 223
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_touch.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 20, 151
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_types.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 30
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_version.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 18, 205
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_video.h", "C++", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1739, 130, 2185
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_vulkan.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 20, 216
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\begin_code.h", "C++", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 190
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\close_code.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 41
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_image\cmake\sdl2_image-config-version.cmake", "CMake", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_image\cmake\sdl2_image-config.cmake", "CMake", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_image\include\SDL_image.h", "C++", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2011, 74, 2194
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_ttf\cmake\sdl2_ttf-config-version.cmake", "CMake", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_ttf\cmake\sdl2_ttf-config.cmake", "CMake", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2_ttf\include\SDL_ttf.h", "C++", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2017, 112, 2319
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\x64\Debug\Caelis Chaos.log", "Log", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\x64\Release\Caelis Chaos.log", "Log", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"Total", "-", 30737, 4109, 185, 36, 348, 231, 7911, 18605, 2020, 1481, 2871, 28576, 10481, 107591
